Calculus 1, 3, A0
Introduction to Programming, 3, A-
Calculus II, 3, A0
Introduction to Linear Algebra, 3, A-
Probability and Statistics, 3, A-
Discrete Mathematics, 3, B-
Data Structure, 3, A0
Basics of Artificial Intelligence<Big data analysis and machine learning, 3, A-
Introduction to Algorithm, 3, A-
Programming Structure for Electrical Engineering, 3, A0
Probability and Introductory Random Processes, 3, A0
Special Topics in Computer Science<Introduction to Data Science>, 3, A-
Foundation of Big Data Analytics, 3, A0
Individual Study, 1, S
Individual Study, 1, S
Introduction to Multi-disciplinary Robotics, 3, A0
Research in Computer Science, 3, S